Nonterminal,main,id,ini_llave,fin_llave,function,return,ini_parentesis,fin_parentesis,coma,punto_coma,if,then,elseif,else,switch,dos_puntos,default_switch,digito,bool,cadena,caracter,double,while,for,until,salto,int,float,char,string,bool_type,array,define,as,ini_corchete,fin_corchete,scan,print,igual,EXPRESV1,or,and,igual_doble,no_igual,menor,menor_igual,mayor,mayor_igual,plus,minus,times,divide,mod,potencia,negacion,$
PGR,DECL,,,,DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DECL
DECL,DX ALG,,,,DX ALG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DX ALG
DX,ep,,,,FUN DX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,main id ini_llave SENTENCIAS fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUN,,,,,function id return id ini_parentesis PARAMS fin_parentesis ini_llave SENTENCIAS fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMS,,id PARAM,,,,,,ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAM,,,,,,,,ep,coma id PARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENTENCIAS,,SENTENCIA STX,,,,,,,,,SENTENCIA STX,,,,SENTENCIA STX,,,SENTENCIA STX,SENTENCIA STX,SENTENCIA STX,SENTENCIA STX,SENTENCIA STX,SENTENCIA STX,SENTENCIA STX,,,,,,,,SENTENCIA STX,SENTENCIA STX,,,,SENTENCIA STX,SENTENCIA STX,,SENTENCIA STX,,,,,,,,,,SENTENCIA STX,,,,,SENTENCIA STX,
STX,,SENTENCIAS,,ep,,,,,,,SENTENCIAS,,,,SENTENCIAS,,,SENTENCIAS,SENTENCIAS,SENTENCIAS,SENTENCIAS,SENTENCIAS,SENTENCIAS,SENTENCIAS,,,,,,,,SENTENCIAS,SENTENCIAS,,,,SENTENCIAS,SENTENCIAS,,SENTENCIAS,,,,,,,,,,SENTENCIAS,,,,,SENTENCIAS,
SENTENCIA,,EXPRES punto_coma,,,,,,,,,IF,,,,SEGUN,,,EXPRES punto_coma,EXPRES punto_coma,EXPRES punto_coma,EXPRES punto_coma,EXPRES punto_coma,NOIF_SENTENCIAS,NOIF_SENTENCIAS,,,,,,,,DEFARRAY,DEFINIR,,,,LEER,IMPRIMIR,,EXPRES punto_coma,,,,,,,,,,EXPRES punto_coma,,,,,EXPRES punto_coma,
NOIF_SENTENCIAS,,,,,,,,,,,,,,,,,,,,,,,MIENTRAS,PARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFSOLO,,,,,,,,,,,if EXPRES then ini_llave SENTENCIAS fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSEIFS,,,,,,,,,,,,,elseif EXPRES then ini_llave SENTENCIAS fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELSE,,,,,,,,,,,,,,else ini_llave SENTENCIAS fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
